"","Origin","meanTime","flightsNumber","medianTime","maxTime","minTime","cancelledRatio","Score","airport","city","state","country","position","Year"
"1","DEN",15.2587517575007,41963,0,800,0,3.20453707119144,24.872362971075,"Denver Intl","Denver","CO","USA","a","1987"
"2","SFO",15.3684760219328,34469,3,1380,0,1.91153463234248,21.1030799189602,"San Francisco International","San Francisco","CA","USA","b","1987"
"3","LAX",13.324298398251,44826,3,1380,0,1.77233492529466,18.641303174135,"Los Angeles International","Los Angeles","CA","USA","c","1987"
"4","ORD",8.22454339991448,65484,1,847,0,2.56189002618424,15.9102134784672,"Chicago O'Hare International","Chicago","IL","USA","d","1987"
"5","IAH",10.5864965044808,21313,0,560,0,1.14068441064639,14.00854973642,"George Bush Intercontinental","Houston","TX","USA","e","1987"
"6","PHX",9.32060706663505,29519,0,579,0,1.10225140712946,12.6273612880234,"Phoenix Sky Harbor International","Phoenix","AZ","USA","f","1987"
"7","JFK",9.47566809633784,12124,0,275,0,0.912572313207855,12.2133850359614,"John F Kennedy Intl","New York","NY","USA","g","1987"
"8","ATL",6.78575586739383,65276,0,1320,0,1.55031745313608,11.4367082268021,"William B Hartsfield-Atlanta Intl","Atlanta","GA","USA","h","1987"
"9","DFW",8.75238817875834,51399,2,1380,0,0.885075202468184,11.4076137861629,"Dallas-Fort Worth International","Dallas-Fort Worth","TX","USA","i","1987"
"10","LAS",7.78327994538676,19043,0,1380,0,1.00317064296481,10.7927918742812,"McCarran International","Las Vegas","NV","USA","j","1987"
"11","ORD",9.79731368307598,267206,1,1320,0,1.55767714940293,14.4703451312848,"Chicago O'Hare International","Chicago","IL","USA","a","1988"
"12","JFK",11.9541496705366,50992,1,766,0,0.78469457123434,14.3082333842396,"John F Kennedy Intl","New York","NY","USA","b","1988"
"13","DEN",9.46661156196774,159696,0,790,0,0.858227942362826,12.0412953890562,"Denver Intl","Denver","CO","USA","c","1988"
"14","SFO",8.89420874853515,130559,0,1380,0,0.737003662224383,11.1052197352083,"San Francisco International","San Francisco","CA","USA","d","1988"
"15","ATL",6.51342379933845,256671,0,1414,0,1.16774663016737,10.0166636898405,"William B Hartsfield-Atlanta Intl","Atlanta","GA","USA","e","1988"
"16","IAH",7.73339653946433,84380,0,1320,0,0.696372276855032,9.82251337002942,"George Bush Intercontinental","Houston","TX","USA","f","1988"
"17","DFW",6.9290519054273,215411,1,1437,0,0.651144344682244,8.88248493947403,"Dallas-Fort Worth International","Dallas-Fort Worth","TX","USA","g","1988"
"18","LAX",6.64966516996554,168593,0,1401,0,0.608146332264756,8.4741041667598,"Los Angeles International","Los Angeles","CA","USA","h","1988"
"19","PHX",6.14359648470117,120957,0,1320,0,0.38700965053852,7.30462543631673,"Phoenix Sky Harbor International","Phoenix","AZ","USA","i","1988"
"20","LAS",5.03498954192235,72193,0,1388,0,0.382079505641535,6.18122805884695,"McCarran International","Las Vegas","NV","USA","j","1988"
"21","ORD",13.3730643202225,256047,3,1320,0,1.96739633849934,19.2752533357205,"Chicago O'Hare International","Chicago","IL","USA","a","1989"
"22","JFK",13.9635094465808,47848,1,647,0,1.31876723038308,17.9198111377301,"John F Kennedy Intl","New York","NY","USA","b","1989"
"23","ATL",7.65290227773696,217760,0,1439,0,2.78705208091557,16.0140585204837,"William B Hartsfield-Atlanta Intl","Atlanta","GA","USA","c","1989"
"24","SFO",10.5580296625464,124669,0,1380,0,1.31322880243026,14.4977160698372,"San Francisco International","San Francisco","CA","USA","d","1989"
"25","LAX",8.59553022850036,161619,0,1415,0,1.1162967086068,11.9444203543208,"Los Angeles International","Los Angeles","CA","USA","e","1989"
"26","DEN",9.25506910595761,137253,0,735,0,0.793312476970095,11.6350065368679,"Denver Intl","Denver","CO","USA","f","1989"
"27","DFW",8.26286296033994,225920,1,1438,0,1.05491329479769,11.427602844733,"Dallas-Fort Worth International","Dallas-Fort Worth","TX","USA","g","1989"
"28","IAH",7.24157833015245,86978,0,1320,0,0.932483206193784,10.0390279487338,"George Bush Intercontinental","Houston","TX","USA","h","1989"
"29","PHX",7.85568818325801,129435,0,1412,0,0.555384851743739,9.52184273848922,"Phoenix Sky Harbor International","Phoenix","AZ","USA","i","1989"
"30","LAS",5.74045723224475,77991,0,404,0,0.460564925620678,7.12215200910678,"McCarran International","Las Vegas","NV","USA","j","1989"
"31","ORD",9.77936646103773,264230,1,1320,0,1.77276240302012,15.0976536700981,"Chicago O'Hare International","Chicago","IL","USA","a","1990"
