"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","WN",990404,0.15471464170177,0.605937576988784,0.13202289166845,0.0460347494557776,0.0355380228674359,0.0137529735340326,0.0102008877185472,0.00179825606520168,6.27626721988309,0,1
"2","AA",698548,0.277600107651872,0.449790136110904,0.121132692384775,0.0467985020356511,0.0518461150844323,0.0327250239067323,0.0177539696627862,0.00235345316284636,8.14362266289945,-2,1
"3","DL",687638,0.181213080138096,0.526605568627679,0.162003845046376,0.0510152144006003,0.0413618793609428,0.0204744356769114,0.0155852352545962,0.00174074149479814,8.21157898787079,1,1
"4","UA",555812,0.286148913661454,0.472330572207869,0.116496225342382,0.040923909523364,0.0421131605650832,0.0284070872885076,0.0117809619079833,0.00179916950335725,5.97595319043381,-3,1
"5","NW",507286,0.220820207930043,0.51889072436456,0.152580595561478,0.0460371466983122,0.0344361957554516,0.0134145235626451,0.0118473602662009,0.00197324586130901,5.71462695517465,-1,1
"6","MQ",483088,0.237461911701388,0.453811727883947,0.129231113171927,0.0554184744808399,0.0572959792004769,0.0282143212002782,0.0368193786639287,0.00174709369721459,9.24189752765057,-1,1
"7","OO",463448,0.212776837962404,0.575958899380297,0.109285184098324,0.0340124458407416,0.0308901969584506,0.0142432376447843,0.0211113220900727,0.00172187602492621,3.80035816334192,-2,1
"8","US",419919,0.309914531135767,0.445112033511225,0.121552013602623,0.0448467442530583,0.0403196807003255,0.0202920086969154,0.0161435895970413,0.00181939850304463,4.47897792306051,-4,1
"9","OH",373346,0.289674993169875,0.44750713815067,0.117636187343644,0.0438601190316757,0.0419155421512484,0.0210421432129981,0.0364701911899418,0.00189368574994777,4.7794430997457,-3,1
"10","XE",367703,0.234632298349483,0.489055025387337,0.139585480673261,0.046863909187578,0.0430564885247061,0.0274052700141147,0.0165976345039339,0.00280389335958641,7.87724402264199,-1,1
"11","CO",299329,0.260519361638866,0.480143921905328,0.139431862599347,0.0440819299165801,0.0399526941926776,0.0270571845694871,0.00634084903233566,0.0024721961453785,6.87298906943588,-1,1
"12","EV",278861,0.300185397025758,0.426144208046303,0.124097668731017,0.0509465289158398,0.0486156185339649,0.0212614886986707,0.0270457324616924,0.00170335758675469,5.80917428482817,-3,1
"13","DH",264955,0.372119793927271,0.344458492951633,0.106546394670793,0.0501330414598705,0.0545375629823932,0.0391273989922817,0.0312770093034666,0.00180030571229077,7.49846793993544,-5,1
"14","HP",195939,0.209560118200052,0.491009957180551,0.173620361439019,0.0524397899346225,0.0390274524214169,0.0170001888342801,0.0158620795247501,0.00148005246530808,6.91939898515121,1,1
"15","AS",166992,0.26285690332471,0.459560937050877,0.138347944811728,0.0489544409313021,0.0429541534923829,0.0223723292133755,0.0219771006994347,0.00297619047619048,6.64063872255489,-2,1
"16","FL",162558,0.303411705360548,0.418342991424599,0.124410979465791,0.0540668561375017,0.0542021924482339,0.0312934460315703,0.0123832724319935,0.00188855669976255,7.8028931963704,-3,1
"17","B6",89834,0.329741523254002,0.446312086737761,0.133156711267449,0.0411091568893737,0.0287975599438965,0.0131242068704499,0.00568826947480909,0.00207048556225928,1.62829128195923,-4,1
"18","TZ",75533,0.301537076509605,0.453629539406617,0.128831106933393,0.042974593886116,0.0368315835462645,0.0263725788728106,0.00949253968464115,0.000330981160552341,5.57117835033627,-3,1
"19","HA",48077,0.169332529067953,0.751128398194563,0.051188718098051,0.0108991825613079,0.00794558728706034,0.00571999084801464,0.00336959460864863,0.000415999334401065,-2.07163587013258,-5,1
"20","All_data",7129270,0.243476821610067,0.494778427524838,0.131059982298328,0.0462635024343306,0.0421483546001203,0.0224194061944631,0.0179200675524984,0.0019334377853553,6.50806621149733,-2,1
