"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.07282294,"1992"
"2","(-10;10]","DL",0.6437383,"1992"
"3","(10;30]","DL",0.2035865,"1992"
"4","(30;50]","DL",0.04082728,"1992"
"5","(50;100]","DL",0.02181775,"1992"
"6","(100;+inf)","DL",0.00846068,"1992"
"7","cancelled","DL",0.007090388,"1992"
"8","(-inf;-10]","Średnia",0.13410957,"1992"
"9","(-10;10]","Średnia",0.6292671,"1992"
"10","(10;30]","Średnia",0.1593896,"1992"
"11","(30;50]","Średnia",0.03441528,"1992"
"12","(50;100]","Średnia",0.02199363,"1992"
"13","(100;+inf)","Średnia",0.008213219,"1992"
"14","cancelled","Średnia",0.010375957,"1992"
