"","UniqueCarrier","delta_mean_delay","Year"
"1","WN",-1.8458523805423,"2005"
"2","AA",1.13039047971331,"2005"
"3","DL",0.731836713685056,"2005"
"4","MQ",0.476630491268912,"2005"
"5","OO",-3.33172466117596,"2005"
"6","UA",0.379014539256231,"2005"
"7","NW",1.64400668938389,"2005"
"8","US",-0.541139392647822,"2005"
"9","XE",1.71089286361148,"2005"
"10","OH",-3.77167036249281,"2005"
"11","EV",2.77449567408354,"2005"
"12","CO",1.39135590755256,"2005"
"13","HP",-3.83513081021867,"2005"
"14","FL",7.18504997713849,"2005"
"15","AS",5.03909628218482,"2005"
"16","DH",-1.17122997721059,"2005"
"17","B6",3.62363687654319,"2005"
"18","F9",-3.67379822059878,"2005"
"19","HA",-9.48706754100932,"2005"
"20","TZ",-2.54921381445095,"2005"
