"","UniqueCarrier","delta_mean_delay","Year"
"1","9E",0,"1988"
"2","AA",-2.32401395016569,"1988"
"3","AQ",0,"1988"
"4","AS",1.22833914921219,"1988"
"5","B6",0,"1988"
"6","CO",-0.8557843375566,"1988"
"7","DH",0,"1988"
"8","DL",-0.391370020912221,"1988"
"9","EA",1.08108830984035,"1988"
"10","EV",0,"1988"
"11","F9",0,"1988"
"12","FL",0,"1988"
"13","HA",0,"1988"
"14","HP",-2.47078014591667,"1988"
"15","ML (1)",0,"1988"
"16","MQ",0,"1988"
"17","NW",1.26251892061185,"1988"
"18","OH",0,"1988"
"19","OO",0,"1988"
"20","PA (1)",2.10263382023136,"1988"
"21","PI",2.13864336718905,"1988"
"22","PS",-5.09671149053646,"1988"
"23","TW",1.38724312666526,"1988"
"24","TZ",0,"1988"
"25","UA",0.772606455567342,"1988"
"26","US",1.56049927161661,"1988"
"27","WN",-3.28879505967463,"1988"
"28","XE",0,"1988"
"29","YV",0,"1988"
"30","9E",0,"1989"
"31","AA",-2.2291686525669,"1989"
"32","AQ",0,"1989"
"33","AS",-0.953800014334755,"1989"
"34","B6",0,"1989"
"35","CO",-2.85806966378359,"1989"
"36","DH",0,"1989"
"37","DL",0.0302605420184072,"1989"
"38","EA",-2.44174973785196,"1989"
"39","EV",0,"1989"
"40","F9",0,"1989"
"41","FL",0,"1989"
"42","HA",0,"1989"
"43","HP",-2.47794932779411,"1989"
"44","ML (1)",0,"1989"
"45","MQ",0,"1989"
"46","NW",-2.37035465628848,"1989"
"47","OH",0,"1989"
"48","OO",0,"1989"
"49","PA (1)",1.15567440211387,"1989"
"50","PI",5.43648402581403,"1989"
"51","PS",0,"1989"
"52","TW",-0.829554938642869,"1989"
"53","TZ",0,"1989"
"54","UA",2.82122448161754,"1989"
"55","US",3.13706194212813,"1989"
"56","WN",-1.63761240849898,"1989"
"57","XE",0,"1989"
"58","YV",0,"1989"
"59","9E",0,"1990"
"60","AA",-0.317777228221576,"1990"
"61","AQ",0,"1990"
"62","AS",0.242343481744046,"1990"
"63","B6",0,"1990"
"64","CO",1.02244011327717,"1990"
"65","DH",0,"1990"
"66","DL",2.62744547956231,"1990"
"67","EA",-0.691507519297671,"1990"
"68","EV",0,"1990"
"69","F9",0,"1990"
"70","FL",0,"1990"
"71","HA",0,"1990"
"72","HP",-1.08820074011352,"1990"
"73","ML (1)",0,"1990"
"74","MQ",0,"1990"
"75","NW",-2.98070292518203,"1990"
"76","OH",0,"1990"
"77","OO",0,"1990"
"78","PA (1)",-4.83407985371331,"1990"
"79","PI",0,"1990"
"80","PS",0,"1990"
"81","TW",0.657341640465125,"1990"
"82","TZ",0,"1990"
"83","UA",0.639055081602299,"1990"
"84","US",-0.814408554839884,"1990"
"85","WN",0.107276707935902,"1990"
"86","XE",0,"1990"
"87","YV",0,"1990"
"88","9E",0,"1991"
"89","AA",-0.866009118718646,"1991"
"90","AQ",0,"1991"
"91","AS",-0.438546564963138,"1991"
"92","B6",0,"1991"
"93","CO",-0.192444368349094,"1991"
"94","DH",0,"1991"
"95","DL",1.98833730283141,"1991"
"96","EA",0,"1991"
"97","EV",0,"1991"
"98","F9",0,"1991"
"99","FL",0,"1991"
"100","HA",0,"1991"
"101","HP",0.198399622637251,"1991"
"102","ML (1)",0.0111645605297914,"1991"
"103","MQ",0,"1991"
"104","NW",-3.00799403591067,"1991"
"105","OH",0,"1991"
"106","OO",0,"1991"
"107","PA (1)",-4.01460385716372,"1991"
"108","PI",0,"1991"
"109","PS",0,"1991"
"110","TW",0.266980758320424,"1991"
"111","TZ",0,"1991"
"112","UA",1.92449005284216,"1991"
"113","US",-0.812935667256461,"1991"
"114","WN",0.225299081064898,"1991"
"115","XE",0,"1991"
"116","YV",0,"1991"
"117","9E",0,"1992"
"118","AA",0.286582130644444,"1992"
"119","AQ",0,"1992"
"120","AS",-0.185150275808661,"1992"
"121","B6",0,"1992"
"122","CO",0.864161787791946,"1992"
"123","DH",0,"1992"
"124","DL",2.60560693830705,"1992"
"125","EA",0,"1992"
"126","EV",0,"1992"
"127","F9",0,"1992"
"128","FL",0,"1992"
"129","HA",0,"1992"
"130","HP",-2.85997212683136,"1992"
"131","ML (1)",0,"1992"
"132","MQ",0,"1992"
"133","NW",-2.61478772780429,"1992"
"134","OH",0,"1992"
"135","OO",0,"1992"
"136","PA (1)",0,"1992"
"137","PI",0,"1992"
"138","PS",0,"1992"
"139","TW",-1.04726667047919,"1992"
