"","UniqueCarrier","Month","ratio","type","Value"
"1","EA","1",0.0220013191369076,"count",21226
"2","EA","2",0.0135389244076721,"count",18613
"3","EA","3",0.00496524329692155,"count",21147
"4","EA","4",0.00612963946136397,"count",20719
"5","EA","5",0.00558447704685282,"count",21130
"6","EA","6",0.00328565906455354,"count",20696
"7","EA","7",0.0049625468164794,"count",21360
"8","EA","8",0.00529961415089954,"count",21511
"9","EA","9",0.00701499758103532,"count",20670
"10","EA","10",0.00761110859421012,"count",22073
"11","EA","11",0.00420973852846251,"count",21379
"12","EA","12",0.017031969845037,"count",21489
"13","EA","1",0.0220013191369076,"cancellations",467
"14","EA","2",0.0135389244076721,"cancellations",252
"15","EA","3",0.00496524329692155,"cancellations",105
"16","EA","4",0.00612963946136397,"cancellations",127
"17","EA","5",0.00558447704685282,"cancellations",118
"18","EA","6",0.00328565906455354,"cancellations",68
"19","EA","7",0.0049625468164794,"cancellations",106
"20","EA","8",0.00529961415089954,"cancellations",114
"21","EA","9",0.00701499758103532,"cancellations",145
"22","EA","10",0.00761110859421012,"cancellations",168
"23","EA","11",0.00420973852846251,"cancellations",90
"24","EA","12",0.017031969845037,"cancellations",366
