"","UniqueCarrier","count.x","ratio__10","ratio__10_10","ratio_10_30","ratio_30_50","ratio_50_100","ratio_100","ratio_cancellations","ratio_nas","mean_delay","median_delay","all"
"1","DL",915095,0.179665499210464,0.563113119402904,0.150498035723067,0.0411760527595496,0.0306110294559581,0.0144072473349762,0.0184953474775843,0.00203366863549686,5.76009835893648,0,1
"2","WN",815069,0.0791638499317236,0.674918319798692,0.14108866856671,0.0451605937656812,0.0344044491938719,0.0124198074028088,0.010968396540661,0.0018759147998513,7.30456500124285,0,1
"3","UA",748459,0.142943033619744,0.545908326307787,0.147579226116594,0.049549808339535,0.0529381034899707,0.0310558093362495,0.0276354483011093,0.00239024448901009,10.9979090505878,1,1
"4","US",696030,0.168532965533095,0.57387612602905,0.137973937904975,0.0416045285404365,0.0344798356392684,0.0163283191816445,0.0247316925994569,0.00247259457207304,6.18764722823238,-1,1
"5","AA",653919,0.284105523772822,0.474722404456821,0.121274959131024,0.0372140892067672,0.0366497991341435,0.0207319255137104,0.022421737248803,0.00287956153590888,4.39939031086929,-3,1
"6","NW",527512,0.240648553966545,0.424456694824004,0.132089886106856,0.0486055293528868,0.0418113711157282,0.0256657668451144,0.0839222614840989,0.00279993630476653,7.95557585129679,-1,1
"7","CO",399273,0.231342965840415,0.489449574601839,0.143578453839854,0.0456830289050349,0.0412750173440228,0.0275125039759763,0.0181880567932217,0.00297039869963659,7.84554723981322,0,1
"8","TW",274073,0.217420176376367,0.511247003535554,0.12957496725325,0.043959091191033,0.0454805836401251,0.0254092887661316,0.023946174924199,0.00296271431333988,7.5026059438016,-1,1
"9","HP",203071,0.0801000635245801,0.538516085507039,0.197310300338305,0.0645685499160392,0.0606191923021997,0.0349926872867125,0.0220563251276647,0.00183679599745902,15.3485084679067,5,1
"10","AS",152220,0.0525489423203258,0.586361844698463,0.22608724214952,0.0557745368545526,0.0364735251609513,0.0162133753777427,0.023058730784391,0.00348180265405334,11.4531380753138,5,1
"11","All_data",5384721,0.174972110904168,0.54634659808744,0.14402120369839,0.0450158884740732,0.0394642545082651,0.0208989472249351,0.0268368593284592,0.00244413777426908,7.58696768024647,0,1
