"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.08763808,"1991"
"2","(-10;10]","DL",0.6499507,"1991"
"3","(10;30]","DL",0.1840657,"1991"
"4","(30;50]","DL",0.03807195,"1991"
"5","(50;100]","DL",0.02283288,"1991"
"6","(100;+inf)","DL",0.009007866,"1991"
"7","cancelled","DL",0.00684735,"1991"
"8","(-inf;-10]","Średnia",0.14741305,"1991"
"9","(-10;10]","Średnia",0.6206921,"1991"
"10","(10;30]","Średnia",0.1531785,"1991"
"11","(30;50]","Średnia",0.03474091,"1991"
"12","(50;100]","Średnia",0.02407993,"1991"
"13","(100;+inf)","Średnia",0.008847481,"1991"
"14","cancelled","Średnia",0.008569163,"1991"
