"","UniqueCarrier","delta_mean_delay","Year"
"1","WN",-0.231798991614238,"2004"
"2","AA",1.63555645140212,"2004"
"3","DL",1.70351277637346,"2004"
"4","UA",-0.532113021063521,"2004"
"5","NW",-0.793439256322673,"2004"
"6","MQ",2.73383131615324,"2004"
"7","OO",-2.70770804815541,"2004"
"8","US",-2.02908828843682,"2004"
"9","OH",-1.72862311175163,"2004"
"10","XE",1.36917781114466,"2004"
"11","CO",0.364922857938551,"2004"
"12","EV",-0.69889192666916,"2004"
"13","DH",0.990401728438112,"2004"
"14","HP",0.411332773653888,"2004"
"15","AS",0.132572511057564,"2004"
"16","FL",1.29482698487307,"2004"
"17","B6",-4.8797749295381,"2004"
"18","TZ",-0.936887861161056,"2004"
"19","HA",-8.57970208162991,"2004"
