"","UniqueCarrier","Month","ratio","type","Value"
"1","EA","1",0.0632706207482993,"count",37632
"2","EA","2",0.0244028628093472,"count",34791
"3","EA","3",0.0177614659237034,"count",37328
"4","EA","4",0.0196565160917881,"count",34645
"5","EA","5",0.0157968640299555,"count",34184
"6","EA","6",0.00588563286041757,"count",32282
"7","EA","7",0.0116253768922321,"count",32171
"8","EA","8",0.0113331251951296,"count",32030
"9","EA","9",0.00525000905173974,"count",27619
"10","EA","10",0.00419402523290591,"count",29089
"11","EA","11",0.00341394025604552,"count",28120
"12","EA","12",0.00687051460834665,"count",29401
"13","EA","1",0.0632706207482993,"cancellations",2381
"14","EA","2",0.0244028628093472,"cancellations",849
"15","EA","3",0.0177614659237034,"cancellations",663
"16","EA","4",0.0196565160917881,"cancellations",681
"17","EA","5",0.0157968640299555,"cancellations",540
"18","EA","6",0.00588563286041757,"cancellations",190
"19","EA","7",0.0116253768922321,"cancellations",374
"20","EA","8",0.0113331251951296,"cancellations",363
"21","EA","9",0.00525000905173974,"cancellations",145
"22","EA","10",0.00419402523290591,"cancellations",122
"23","EA","11",0.00341394025604552,"cancellations",96
"24","EA","12",0.00687051460834665,"cancellations",202
